name,symbol,market_cap,volume_24h,market_cap_ratio,volume_24h_ratio
Bitcoin,BTC,2025733719326.4136,91444671092.20868,56.34,13.38
Ethereum,ETH,395926421940.80225,63392088157.16383,11.01,9.27
XRP,XRP,178429625932.95728,17978617305.090183,4.96,2.63
Tether USDt,USDT,138218957556.42142,277941640081.57214,3.84,40.66
Solana,SOL,119487426055.91335,35067008182.85325,3.32,5.13
BNB,BNB,99143848544.1887,3066713537.6210136,2.76,0.45
Dogecoin,DOGE,53605558552.578995,10445089686.308128,1.49,1.53
USDC,USDC,48009029734.76217,31648062933.488926,1.34,4.63
Cardano,ADA,35414284344.30619,2991535002.5852294,0.98,0.44
TRON,TRX,20003878803.524406,1921921738.22772,0.56,0.28
Chainlink,LINK,15517241151.34452,2588238638.0981584,0.43,0.38
Avalanche,AVAX,14757786982.619476,1026692432.611416,0.41,0.15
Stellar,XLM,13628975134.770742,1354674983.7152672,0.38,0.20
Sui,SUI,13595046452.630962,3121026606.2031813,0.38,0.46
Hedera,HBAR,12960087072.416525,1386843398.6936495,0.36,0.20
Toncoin,TON,12281222319.781275,434935495.2859263,0.34,0.06
Shiba Inu,SHIB,12109727659.966406,1563543587.4723573,0.34,0.23
OFFICIAL TRUMP,TRUMP,11936720323.665537,46867678561.20551,0.33,6.86
Polkadot,DOT,9748964989.537216,713410393.2645123,0.27,0.10
Jupiter,JUP,9629057486.615534,919461525.4340179,0.27,0.13
UNUS SED LEO,LEO,9029078401.869066,2768858.23344472,0.25,0.00
Litecoin,LTC,8789542245.637234,1693892626.131863,0.24,0.25
Bitcoin Cash,BCH,8565201028.196743,680365466.3735666,0.24,0.10
Uniswap,UNI,8065588099.925836,627889523.8776058,0.22,0.09
Bitget Token,BGB,8037777955.289884,429336364.4786631,0.22,0.06
Hyperliquid,HYPE,6854023694.6798525,505539889.11048985,0.19,0.07
Pepe,PEPE,6636304147.77368,3748834157.748921,0.18,0.55
NEAR Protocol,NEAR,5889018486.926282,656742353.4937927,0.16,0.10
