id,symbol,name,market_cap,total_volume
bitcoin,btc,Bitcoin,2.13E+12,34077842947
ethereum,eth,Ethereum,3.12E+11,24584627766
tether,usdt,Tether,1.56E+11,30302787199
ripple,xrp,XRP,1.32E+11,4257899449
binancecoin,bnb,BNB,95696599774,699434954
solana,sol,Solana,81029040809,5009623626
usd-coin,usdc,USDC,61599087158,6527112467
tron,trx,TRON,26221494003,1753450859
dogecoin,doge,Dogecoin,26012349521,1301671793
staked-ether,steth,Lido Staked Ether,23471116797,16946099
cardano,ada,Cardano,22875077387,661081371
hyperliquid,hype,Hyperliquid,14171156620,464231725
wrapped-bitcoin,wbtc,Wrapped Bitcoin,13794107796,257827838
wrapped-steth,wsteth,Wrapped stETH,11234556406,13846224
sui,sui,Sui,10213545552,1019514962
bitcoin-cash,bch,Bitcoin Cash,9496601690,433824657
chainlink,link,Chainlink,8914136966,486138048
leo-token,leo,LEO Token,8553475296,2468019
stellar,xlm,Stellar,8146959332,241123692
avalanche-2,avax,Avalanche,8101607913,392322174
whitebit,wbt,WhiteBIT Coin,7425395090,127802178
the-open-network,ton,Toncoin,7364369681,194870338
usds,usds,USDS,7054592840,5617890
shiba-inu,shib,Shiba Inu,7026801181,167039677
wrapped-eeth,weeth,Wrapped eETH,6774216494,11716655
weth,weth,WETH,6753482762,88631777
hedera-hashgraph,hbar,Hedera,6575773829,188229219
litecoin,ltc,Litecoin,6555451905,314373382
binance-bridged-usdt-bnb-smart-chain,bsc-usd,Binance Bridged USDT (BNB Smart Chain),6285513338,2931929844
monero,xmr,Monero,5995821869,108588565
ethena-usde,usde,Ethena USDe,5891994907,89855133
polkadot,dot,Polkadot,5866069768,176380669
bitget-token,bgb,Bitget Token,5281708963,35743538
coinbase-wrapped-btc,cbbtc,Coinbase Wrapped BTC,4902504417,350802068
uniswap,uni,Uniswap,4631714494,704601632
pepe,pepe,Pepe,4454325788,1236784160
pi-network,pi,Pi Network,4264011737,105359924
aave,aave,Aave,4203971061,676768232
dai,dai,Dai,3616591870,91574885
ethena-staked-usde,susde,Ethena Staked USDe,3494210957,6297821
bittensor,tao,Bittensor,3203011375,163308218
okb,okb,OKB,3082551763,7005532
aptos,apt,Aptos,2993017852,183144344
blackrock-usd-institutional-digital-liquidity-fund,buidl,BlackRock USD Institutional Digital Liquidity Fund,2904572220,0
internet-computer,icp,Internet Computer,2865971938,73196376
near,near,NEAR Protocol,2758328173,188011023
crypto-com-chain,cro,Cronos,2703848290,20000424
jito-staked-sol,jitosol,Jito Staked SOL,2648483938,36557467
tokenize-xchange,tkx,Tokenize Xchange,2591458451,24989020
ethereum-classic,etc,Ethereum Classic,2589079483,49052305
susds,susds,sUSDS,2501179053,18484431
ondo-finance,ondo,Ondo,2453278793,182016549
usd1-wlfi,usd1,USD1,2190214897,306317349
mantle,mnt,Mantle,2073802862,170540163
sky,sky,Sky,1982791934,11212805
kaspa,kas,Kaspa,1981099429,84089640
gatechain-token,gt,Gate,1975250743,11616105
official-trump,trump,Official Trump,1946364342,365561128
vechain,vet,VeChain,1920173451,34591839
fasttoken,ftn,Fasttoken,1908258567,56274159
cosmos,atom,Cosmos Hub,1885369658,90945642
lombard-staked-btc,lbtc,Lombard Staked BTC,1859742884,7999452
polygon-ecosystem-token,pol,POL (ex-MATIC),1797979702,72304284
ethena,ena,Ethena,1780557829,242469674
render-token,render,Render,1768620304,104568666
fetch-ai,fet,Artificial Superintelligence Alliance,1765530210,152566182
filecoin,fil,Filecoin,1662883585,188079910
binance-peg-weth,weth,Binance-Peg WETH,1561438859,84623590
usdt0,usdt0,USDT0,1548645276,295810113
arbitrum,arb,Arbitrum,1545671297,276281868
jupiter-perpetuals-liquidity-provider-token,jlp,Jupiter Perpetuals Liquidity Provider Token,1535220613,70778319
worldcoin-wld,wld,Worldcoin,1528891974,243951837
algorand,algo,Algorand,1524497873,69227595
first-digital-usd,fdusd,First Digital USD,1512298199,6196320579
quant-network,qnt,Quant,1510298174,32749949
usdtb,usdtb,USDtb,1457311261,433195
kucoin-shares,kcs,KuCoin,1391776994,7066033
binance-staked-sol,bnsol,Binance Staked SOL,1362771621,2719455
spx6900,spx,SPX6900,1339727036,125968255
jupiter-exchange-solana,jup,Jupiter,1244938414,50594353
nexo,nexo,NEXO,1232219105,11023346
rocket-pool-eth,reth,Rocket Pool ETH,1218531249,1844006
virtual-protocol,virtual,Virtuals Protocol,1207777469,286049288
flare-networks,flr,Flare,1204603490,6086284
kelp-dao-restaked-eth,rseth,Kelp DAO Restaked ETH,1186746486,149418
fartcoin,fartcoin,Fartcoin,1162850254,400429241
celestia,tia,Celestia,1157046761,101874428
bonk,bonk,Bonk,1138311377,208834790
injective-protocol,inj,Injective,1135073304,131010376
sonic-3,s,Sonic,1063417020,108240948
polygon-bridged-usdt-polygon,usdt,Polygon Bridged USDT (Polygon),1015218137,16793642
story-2,ip,Story,1011138629,15043461
newton-project,ab,AB,1003049858,137300792
binance-bridged-usdc-bnb-smart-chain,usdc,Binance Bridged USDC (BNB Smart Chain),998755233,414698546
optimism,op,Optimism,998537664,277952033
blockstack,stx,Stacks,985415314,38141621
mantle-staked-ether,meth,Mantle Staked Ether,962795808,3405967
sei-network,sei,Sei,958364457,61292472
xdce-crowd-sale,xdc,XDC Network,956021305,27708821
paypal-usd,pyusd,PayPal USD,952290228,66076561
stakewise-v3-oseth,oseth,StakeWise Staked ETH,942139352,463690
kaia,kaia,Kaia,912291467,50907934
wbnb,wbnb,Wrapped BNB,875357872,1764392151
arbitrum-bridged-wbtc-arbitrum-one,wbtc,Arbitrum Bridged WBTC (Arbitrum One),872528996,150170931
renzo-restaked-eth,ezeth,Renzo Restaked ETH,868451678,1668688
the-graph,grt,The Graph,858698949,40489105
pax-gold,paxg,PAX Gold,838614552,131500254
dogwifcoin,wif,dogwifhat,838340760,359042424
tether-gold,xaut,Tether Gold,837743569,51954140
clbtc,clbtc,clBTC,833957617,424.47
vaulta,a,Vaulta,824300473,45300970
curve-dao-token,crv,Curve DAO,817693348,163974971
immutable-x,imx,Immutable,817288003,65487399
solv-btc,solvbtc,Solv Protocol BTC,812627160,2179552
jupiter-staked-sol,jupsol,Jupiter Staked SOL,779835115,5610502
syrupusdc,syrupusdc,SyrupUSDC,777130988,8133374
jito-governance-token,jto,Jito,756852608,89906422
msol,msol,Marinade Staked SOL,753283202,13333576
floki,floki,FLOKI,748186182,81005734
lido-dao,ldo,Lido DAO,735001123,117254384
pancakeswap-token,cake,PancakeSwap,726537145,90989609
liquid-staked-ethereum,lseth,Liquid Staked ETH,726165055,2471765
ousg,ousg,OUSG,709698678,0
theta-token,theta,Theta Network,706512425,30723615
zcash,zec,Zcash,689352257,25825815
ethereum-name-service,ens,Ethereum Name Service,684394503,68729803
gala,gala,GALA,672745373,103439005
usdx-money-usdx,usdx,Stables Labs USDX,670000077,2590668
bittorrent,btt,BitTorrent,665748136,14992245
the-sandbox,sand,The Sandbox,651641030,45810625
bitcoin-cash-sv,bsv,Bitcoin SV,648923969,35013630
iota,iota,IOTA,648731705,17244510
aerodrome-finance,aero,Aerodrome Finance,648130375,105326130
pendle,pendle,Pendle,647994126,144140682
pudgy-penguins,pengu,Pudgy Penguins,637724004,116113482
ondo-us-dollar-yield,usdy,Ondo US Dollar Yield,635773090,10914198
jasmycoin,jasmy,JasmyCoin,628081969,38091438
walrus-2,wal,Walrus,620828724,28205874
wrapped-hype,whype,Wrapped HYPE,618070395,42654662
pyth-network,pyth,Pyth Network,616131800,33855949
usual-usd,usd0,Usual USD,614681975,6601611
solv-protocol-solvbtc-bbn,xsolvbtc,Solv Protocol Staked BTC,611494540,678517
tezos,xtz,Tezos,589972603,19032834
raydium,ray,Raydium,588881763,66010592
syrup,syrup,Maple Finance,586444874,127961883
coredaoorg,core,Core,584324094,12835862
super-oeth,superoeth,Super OETH,563940827,1477345
l2-standard-bridged-weth-base,weth,L2 Standard Bridged WETH (Base),563040349,406793006
flow,flow,Flow,560210513,21121647
tbtc,tbtc,tBTC,559797629,13240441
falcon-finance,usdf,Falcon USD,559413922,1805674
mantle-restaked-eth,cmeth,Mantle Restaked ETH,538811163,5140057
saros-finance,saros,Saros,538283093,8357890
cgeth-hashkey-cloud,cgeth.hashkey,cgETH Hashkey Cloud,534749693,49.71
apecoin,ape,ApeCoin,533282734,49785212
thorchain,rune,THORChain,529360808,147264688
bitcoin-avalanche-bridged-btc-b,btc.b,Avalanche Bridged BTC (Avalanche),521381909,24603655
arbitrum-bridged-weth-arbitrum-one,weth,Arbitrum Bridged WETH (Arbitrum One),511293948,431662639
decentraland,mana,Decentraland,507854532,30717579
dexe,dexe,DeXe,507512053,9983350
compound-governance-token,comp,Compound,500960323,80443933
