id,symbol,name,market_cap,total_volume
bitcoin,btc,Bitcoin,2194991805899,19316061318
ethereum,eth,Ethereum,515911045096,14402321409
tether,usdt,Tether,168935354719,43334108062
ripple,xrp,XRP,167540337743,1683298627
binancecoin,bnb,BNB,119946960631,956533517
solana,sol,Solana,108388640227,2970665142
usd-coin,usdc,USDC,72547606458,3198152062
staked-ether,steth,Lido Staked Ether,37000787240,49920796
dogecoin,doge,Dogecoin,32563895231,1079444771
cardano,ada,Cardano,29878945269,833672745
tron,trx,TRON,29787556081,1245701990
wrapped-steth,wsteth,Wrapped stETH,16289332238,50630652
chainlink,link,Chainlink,15057533705,508159172
wrapped-beacon-eth,wbeth,Wrapped Beacon ETH,14108602056,3048337
wrapped-bitcoin,wbtc,Wrapped Bitcoin,14030446104,88128902
ethena-usde,usde,Ethena USDe,12763107754,291947715
hyperliquid,hype,Hyperliquid,12501947820,188134408
figure-heloc,figr_heloc,Figure Heloc,12245407396,501484
sui,sui,Sui,11907795467,439045475
bitcoin-cash,bch,Bitcoin Cash,11860982691,416794841
wrapped-eeth,weeth,Wrapped eETH,11513337699,9255230
stellar,xlm,Stellar,11292828263,86864988
avalanche-2,avax,Avalanche,10297271431,251821150
weth,weth,WETH,9730656062,147463447
hedera-hashgraph,hbar,Hedera,9097948353,82826386
crypto-com-chain,cro,Cronos,8960221070,79065807
leo-token,leo,LEO Token,8829539188,419423
litecoin,ltc,Litecoin,8551509525,267819895
usds,usds,USDS,8127576952,5747606
the-open-network,ton,Toncoin,7863120473,99138309
shiba-inu,shib,Shiba Inu,7233286966,99765688
binance-bridged-usdt-bnb-smart-chain,bsc-usd,Binance Bridged USDT (BNB Smart Chain),6784588463,1786965365
coinbase-wrapped-btc,cbbtc,Coinbase Wrapped BTC,6074714440,166422906
whitebit,wbt,WhiteBIT Coin,6067228989,26441186
world-liberty-financial,wlfi,World Liberty Financial,5961347784,892083098
polkadot,dot,Polkadot,5822511879,127446858
ethena-staked-usde,susde,Ethena Staked USDe,5716155043,58567898
uniswap,uni,Uniswap,5606350811,163296778
ethena,ena,Ethena,5079169272,796010810
monero,xmr,Monero,4955311186,50184682
aave,aave,Aave,4542796661,244349790
dai,dai,Dai,4480357712,56446218
bitget-token,bgb,Bitget Token,4413893979,110092955
okb,okb,OKB,4250303196,322328430
pepe,pepe,Pepe,4056997803,242716522
mantle,mnt,Mantle,3729434418,175478376
ethereum-classic,etc,Ethereum Classic,3099806705,30578183
bittensor,tao,Bittensor,3042176448,24804086
near,near,NEAR Protocol,3002125208,66506327
memecore,m,MemeCore,2984704198,49038496
jito-staked-sol,jitosol,Jito Staked SOL,2959823919,23434024
aptos,apt,Aptos,2890695570,327041680
polygon-ecosystem-token,pol,POL (ex-MATIC),2873960093,92816381
ondo-finance,ondo,Ondo,2847246223,54397080
usdt0,usdt0,USDT0,2815641326,173373483
pi-network,pi,Pi Network,2729369329,25803498
usd1-wlfi,usd1,USD1,2623930544,292033088
arbitrum,arb,Arbitrum,2587814912,174648605
binance-peg-weth,weth,Binance-Peg WETH,2586411498,29226082
internet-computer,icp,Internet Computer,2555345550,30407775
story-2,ip,Story,2442439306,51346816
binance-staked-sol,bnsol,Binance Staked SOL,2299758261,1167152
blackrock-usd-institutional-digital-liquidity-fund,buidl,BlackRock USD Institutional Digital Liquidity Fund,2247331767,0.0
cosmos,atom,Cosmos Hub,2062262848,55689124
susds,susds,sUSDS,2054694726,56179603
kaspa,kas,Kaspa,2053635156,50208922
gatechain-token,gt,Gate,2009016488,1616987
vechain,vet,VeChain,2005332760,18258764
jupiter-perpetuals-liquidity-provider-token,jlp,Jupiter Perpetuals Liquidity Provider Token,2000397020,29118149
algorand,algo,Algorand,1984184175,39199536
rocket-pool-eth,reth,Rocket Pool ETH,1954354889,10335976
fasttoken,ftn,Fasttoken,1944271146,55808751
worldcoin-wld,wld,Worldcoin,1939826238,150953779
kucoin-shares,kcs,KuCoin,1814690970,3719991
pudgy-penguins,pengu,Pudgy Penguins,1802041899,117389133
kinetic-staked-hype,khype,Kinetiq Staked HYPE,1786476665,37921903
kelp-dao-restaked-eth,rseth,Kelp DAO Restaked ETH,1782719032,1928454
render-token,render,Render,1769905095,29108925
sei-network,sei,Sei,1715074614,61191273
bfusd,bfusd,BFUSD,1699491304,1866539
official-trump,trump,Official Trump,1671211511,103421206
sky,sky,Sky,1670670369,4201844
falcon-finance,usdf,Falcon USD,1652139671,8192795
stakewise-v3-oseth,oseth,StakeWise Staked ETH,1613999673,1413855
pump-fun,pump,Pump.fun,1607218454,285471982
usdtb,usdtb,USDtb,1598846888,3515959
filecoin,fil,Filecoin,1596409851,83568400
flare-networks,flr,Flare,1581537847,10544233
fetch-ai,fet,Artificial Superintelligence Alliance,1572880455,34451258
bonk,bonk,Bonk,1543909102,108517169
jupiter-exchange-solana,jup,Jupiter,1542610481,24420165
liquid-staked-ethereum,lseth,Liquid Staked ETH,1540602483,459698
lombard-staked-btc,lbtc,Lombard Staked BTC,1534094960,3398650
quant-network,qnt,Quant,1482304360,10177822
polygon-bridged-usdt-polygon,usdt,Polygon Bridged USDT (Polygon),1436515448,18538331
renzo-restaked-eth,ezeth,Renzo Restaked ETH,1430661704,4783622
xdce-crowd-sale,xdc,XDC Network,1404903782,26358472
four,form,Four,1401693805,13246040
tether-gold,xaut,Tether Gold,1354301000,24849494
optimism,op,Optimism,1269021950,78989302
nexo,nexo,NEXO,1267288265,7001866
injective-protocol,inj,Injective,1263769885,48096247
celestia,tia,Celestia,1238541057,51607404
mantle-staked-ether,meth,Mantle Staked Ether,1225985455,1029016
hash-2,hash,Provenance Blockchain,1215042506,11117.82
paypal-usd,pyusd,PayPal USD,1186173799,25806726
wbnb,wbnb,Wrapped BNB,1182149078,437171122
